,Condition,
1,complete_data_cov0,1
2,incomplete_MCAR_cov0,2
3,incomplete_mar_cov0_snr0.325,3
4,incomplete_mar_cov0_snr0.6,4
5,pdmi_mcar_cov0,5
6,pdmi_mar_cov0_snr0.325,6
7,pdmi_mar_cov0_snr0.6,7
8,pmm_mcar_cov0_k1_m1,8
9,pmm_mar_cov0_snr0.325_k1_m1,9
10,pmm_mar_cov0_snr0.6_k1_m1,10
11,pmm_mcar_cov0_k3_m1,11
12,pmm_mar_cov0_snr0.325_k3_m1,12
13,pmm_mar_cov0_snr0.6_k3_m1,13
14,pmm_mcar_cov0_k5_m1,14
15,pmm_mar_cov0_snr0.325_k5_m1,15
16,pmm_mar_cov0_snr0.6_k5_m1,16
17,pmm_mcar_cov0_k10_m1,17
18,pmm_mar_cov0_snr0.325_k10_m1,18
19,pmm_mar_cov0_snr0.6_k10_m1,19
20,pmm_mcar_cov0_k1_m2,20
21,pmm_mar_cov0_snr0.325_k1_m2,21
22,pmm_mar_cov0_snr0.6_k1_m2,22
23,pmm_mcar_cov0_k3_m2,23
24,pmm_mar_cov0_snr0.325_k3_m2,24
25,pmm_mar_cov0_snr0.6_k3_m2,25
26,pmm_mcar_cov0_k5_m2,26
27,pmm_mar_cov0_snr0.325_k5_m2,27
28,pmm_mar_cov0_snr0.6_k5_m2,28
29,pmm_mcar_cov0_k10_m2,29
30,pmm_mar_cov0_snr0.325_k10_m2,30
31,pmm_mar_cov0_snr0.6_k10_m2,31
32,complete_data_cov3.33,32
33,incomplete_MCAR_cov3.33,33
34,incomplete_mar_cov3.33_snr0.325,34
35,incomplete_mar_cov3.33_snr0.6,35
36,pdmi_mcar_cov3.33,36
37,pdmi_mar_cov3.33_snr0.325,37
38,pdmi_mar_cov3.33_snr0.6,38
39,pmm_mcar_cov3.33_k1_m1,39
40,pmm_mar_cov3.33_snr0.325_k1_m1,40
41,pmm_mar_cov3.33_snr0.6_k1_m1,41
42,pmm_mcar_cov3.33_k3_m1,42
43,pmm_mar_cov3.33_snr0.325_k3_m1,43
44,pmm_mar_cov3.33_snr0.6_k3_m1,44
45,pmm_mcar_cov3.33_k5_m1,45
46,pmm_mar_cov3.33_snr0.325_k5_m1,46
47,pmm_mar_cov3.33_snr0.6_k5_m1,47
48,pmm_mcar_cov3.33_k10_m1,48
49,pmm_mar_cov3.33_snr0.325_k10_m1,49
50,pmm_mar_cov3.33_snr0.6_k10_m1,50
51,pmm_mcar_cov3.33_k1_m2,51
52,pmm_mar_cov3.33_snr0.325_k1_m2,52
53,pmm_mar_cov3.33_snr0.6_k1_m2,53
54,pmm_mcar_cov3.33_k3_m2,54
55,pmm_mar_cov3.33_snr0.325_k3_m2,55
56,pmm_mar_cov3.33_snr0.6_k3_m2,56
57,pmm_mcar_cov3.33_k5_m2,57
58,pmm_mar_cov3.33_snr0.325_k5_m2,58
59,pmm_mar_cov3.33_snr0.6_k5_m2,59
60,pmm_mcar_cov3.33_k10_m2,60
61,pmm_mar_cov3.33_snr0.325_k10_m2,61
62,pmm_mar_cov3.33_snr0.6_k10_m2,62
63,complete_data_cov10,63
64,incomplete_MCAR_cov10,64
65,incomplete_mar_cov10_snr0.325,65
66,incomplete_mar_cov10_snr0.6,66
67,pdmi_mcar_cov10,67
68,pdmi_mar_cov10_snr0.325,68
69,pdmi_mar_cov10_snr0.6,69
70,pmm_mcar_cov10_k1_m1,70
71,pmm_mar_cov10_snr0.325_k1_m1,71
72,pmm_mar_cov10_snr0.6_k1_m1,72
73,pmm_mcar_cov10_k3_m1,73
74,pmm_mar_cov10_snr0.325_k3_m1,74
75,pmm_mar_cov10_snr0.6_k3_m1,75
76,pmm_mcar_cov10_k5_m1,76
77,pmm_mar_cov10_snr0.325_k5_m1,77
78,pmm_mar_cov10_snr0.6_k5_m1,78
79,pmm_mcar_cov10_k10_m1,79
80,pmm_mar_cov10_snr0.325_k10_m1,80
81,pmm_mar_cov10_snr0.6_k10_m1,81
82,pmm_mcar_cov10_k1_m2,82
83,pmm_mar_cov10_snr0.325_k1_m2,83
84,pmm_mar_cov10_snr0.6_k1_m2,84
85,pmm_mcar_cov10_k3_m2,85
86,pmm_mar_cov10_snr0.325_k3_m2,86
87,pmm_mar_cov10_snr0.6_k3_m2,87
88,pmm_mcar_cov10_k5_m2,88
89,pmm_mar_cov10_snr0.325_k5_m2,89
90,pmm_mar_cov10_snr0.6_k5_m2,90
91,pmm_mcar_cov10_k10_m2,91
92,pmm_mar_cov10_snr0.325_k10_m2,92
93,pmm_mar_cov10_snr0.6_k10_m2,93
